ip,port,country,asn,isp,first_seen,last_seen,latitude,longitude
185.220.101.1,443,DE,AS24940,Hetzner Online GmbH,2025-01-01,2025-12-25,50.1109,8.6821
185.220.101.2,9001,DE,AS24940,Hetzner Online GmbH,2025-01-05,2025-12-25,50.1109,8.6821
199.249.230.74,443,US,AS30633,Leaseweb USA Inc.,2025-01-10,2025-12-25,40.7128,-74.0060
199.249.230.75,9001,US,AS30633,Leaseweb USA Inc.,2025-01-10,2025-12-25,40.7128,-74.0060
51.158.147.37,443,FR,AS16276,OVH SAS,2025-02-01,2025-12-25,48.8566,2.3522
51.158.147.38,9001,FR,AS16276,OVH SAS,2025-02-01,2025-12-25,48.8566,2.3522
193.218.118.123,443,SE,AS39351,31173 Services AB,2025-02-15,2025-12-25,59.3293,18.0686
193.218.118.124,9001,SE,AS39351,31173 Services AB,2025-02-15,2025-12-25,59.3293,18.0686
45.61.185.90,443,NL,AS20473,AS-CHOOPA,2025-03-01,2025-12-25,52.3702,4.8952
45.61.185.91,9001,NL,AS20473,AS-CHOOPA,2025-03-01,2025-12-25,52.3702,4.8952
185.100.87.202,443,CH,AS201814,MEVSPACE,2025-03-15,2025-12-25,47.3769,8.5417
185.100.87.203,9001,CH,AS201814,MEVSPACE,2025-03-15,2025-12-25,47.3769,8.5417
104.244.76.13,443,US,AS63949,Linode LLC,2025-04-01,2025-12-25,33.7490,-84.3880
104.244.76.14,9001,US,AS63949,Linode LLC,2025-04-01,2025-12-25,33.7490,-84.3880
91.219.237.244,443,RU,AS51659,LLC Baxet,2025-04-10,2025-12-25,55.7558,37.6173
91.219.237.245,9001,RU,AS51659,LLC Baxet,2025-04-10,2025-12-25,55.7558,37.6173
107.189.10.143,22,CA,AS54290,Hostwinds LLC,2025-05-01,2025-12-25,43.6532,-79.3832
107.189.10.144,3389,CA,AS54290,Hostwinds LLC,2025-05-01,2025-12-25,43.6532,-79.3832
46.101.163.119,443,GB,AS14061,DigitalOcean LLC,2025-05-15,2025-12-25,51.5074,-0.1278
46.101.163.120,9001,GB,AS14061,DigitalOcean LLC,2025-05-15,2025-12-25,51.5074,-0.1278
195.206.105.217,443,ES,AS56655,Giganet Internet Szolgaltato,2025-06-01,2025-12-25,40.4168,-3.7038
195.206.105.218,9001,ES,AS56655,Giganet Internet Szolgaltato,2025-06-01,2025-12-25,40.4168,-3.7038
178.17.174.14,443,NL,AS60781,Liteserver Holding B.V.,2025-06-15,2025-12-25,52.3702,4.8952
178.17.174.15,9001,NL,AS60781,Liteserver Holding B.V.,2025-06-15,2025-12-25,52.3702,4.8952
163.172.176.167,443,FR,AS12876,SCALEWAY S.A.S.,2025-07-01,2025-12-25,48.8566,2.3522
163.172.176.168,9001,FR,AS12876,SCALEWAY S.A.S.,2025-07-01,2025-12-25,48.8566,2.3522
198.98.56.147,443,US,AS20473,AS-CHOOPA,2025-07-10,2025-12-25,37.7749,-122.4194
198.98.56.148,9001,US,AS20473,AS-CHOOPA,2025-07-10,2025-12-25,37.7749,-122.4194
185.220.102.240,443,AT,AS1764,Next Layer Telekommunikationsdienstleistungs,2025-08-01,2025-12-25,48.2082,16.3738
185.220.102.241,9001,AT,AS1764,Next Layer Telekommunikationsdienstleistungs,2025-08-01,2025-12-25,48.2082,16.3738
89.163.252.230,4444,SG,AS133752,LeapSwitch Networks Pvt Ltd,2025-08-15,2025-12-25,1.3521,103.8198
89.163.252.231,5555,SG,AS133752,LeapSwitch Networks Pvt Ltd,2025-08-15,2025-12-25,1.3521,103.8198
185.241.208.171,443,NO,AS51167,Contabo GmbH,2025-09-01,2025-12-25,59.9139,10.7522
185.241.208.172,9001,NO,AS51167,Contabo GmbH,2025-09-01,2025-12-25,59.9139,10.7522
23.129.64.216,443,AU,AS19318,Interserver Inc,2025-09-15,2025-12-25,-33.8688,151.2093
23.129.64.217,9001,AU,AS19318,Interserver Inc,2025-09-15,2025-12-25,-33.8688,151.2093
185.220.101.3,8080,DE,AS24940,Hetzner Online GmbH,2025-10-01,2025-12-25,50.1109,8.6821
185.220.101.4,8888,DE,AS24940,Hetzner Online GmbH,2025-10-01,2025-12-25,50.1109,8.6821
192.42.116.16,443,JP,AS7506,GMO Internet Inc,2025-10-15,2025-12-25,35.6762,139.6503
192.42.116.17,9001,JP,AS7506,GMO Internet Inc,2025-10-15,2025-12-25,35.6762,139.6503
51.210.242.234,443,PL,AS16276,OVH SAS,2025-11-01,2025-12-25,52.2297,21.0122
51.210.242.235,9001,PL,AS16276,OVH SAS,2025-11-01,2025-12-25,52.2297,21.0122
176.10.104.240,443,IT,AS1267,Vodafone Italia S.p.A.,2025-11-10,2025-12-25,41.9028,12.4964
176.10.104.241,9001,IT,AS1267,Vodafone Italia S.p.A.,2025-11-10,2025-12-25,41.9028,12.4964
103.236.201.88,443,IN,AS23930,Asianet Satellite Communications,2025-11-20,2025-12-25,28.7041,77.1025
103.236.201.89,9001,IN,AS23930,Asianet Satellite Communications,2025-11-20,2025-12-25,28.7041,77.1025
179.43.167.194,443,BR,AS262287,MAXIHOST LTDA,2025-12-01,2025-12-25,-23.5505,-46.6333
179.43.167.195,9001,BR,AS262287,MAXIHOST LTDA,2025-12-01,2025-12-25,-23.5505,-46.6333
141.98.252.45,443,FI,AS60068,Datacamp Limited,2025-12-10,2025-12-25,60.1695,24.9354
141.98.252.46,9001,FI,AS60068,Datacamp Limited,2025-12-10,2025-12-25,60.1695,24.9354
66.42.57.149,23,MX,AS19318,Interserver Inc,2025-12-15,2025-12-25,19.4326,-99.1332
66.42.57.150,3389,MX,AS19318,Interserver Inc,2025-12-15,2025-12-25,19.4326,-99.1332
